source,target,edge_type,base_edge_type,dependency_layer,semantic_role,file,line,evidence
tensorflow_core.python.keras.backend.EagerExecutionFunction,TypeError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/backend.py,3511,raise TypeError('`updates` in a Keras backend function '
tensorflow_core.python.keras.backend.EagerExecutionFunction,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/backend.py,3516,raise ValueError('Cannot create a Keras backend function with updates'
tensorflow_core.python.keras.backend.EagerExecutionFunction,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/backend.py,3524,raise ValueError('Cannot create an execution function which is comprised '
tensorflow_core.python.keras.backend.EagerExecutionFunction,tensorflow.python.util.object_identity.ObjectIdentitySet,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/backend.py,3548,freezable_vars_from_keras_graph = object_identity.ObjectIdentitySet(
tensorflow_core.python.keras.backend.EagerExecutionFunction,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/backend.py,3553,raise ValueError('Unknown graph. Aborting.')
tensorflow_core.python.keras.backend.EagerExecutionFunction,tensorflow.python.eager.function.ConcreteFunction,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/backend.py,3600,graph_fn = eager_function.ConcreteFunction(exec_graph)
tensorflow_core.python.keras.backend.EagerExecutionFunction,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/backend.py,3627,raise ValueError(
tensorflow_core.python.keras.backend.GraphExecutionFunction,TypeError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/backend.py,3319,raise TypeError('`updates` in a Keras backend function '
tensorflow_core.python.keras.backend.GraphExecutionFunction,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/backend.py,3361,raise ValueError('Some keys in session_kwargs are not supported at this '
tensorflow_core.python.keras.backend.GraphExecutionFunction,tensorflow.core.protobuf.config_pb2.CallableOptions,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/backend.py,3384,callable_opts = config_pb2.CallableOptions()
tensorflow_core.python.keras.callbacks.BaseLogger,tensorflow_core.python.keras.callbacks.Callback,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks.py,631,class BaseLogger(Callback):
tensorflow_core.python.keras.callbacks.CSVLogger,tensorflow_core.python.keras.callbacks.Callback,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks.py,1920,class CSVLogger(Callback):
tensorflow_core.python.keras.callbacks.CSVLogger,csv.DictWriter,constructor_call_composition,constructor_call,composition,owned_component_instantiation,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks.py,1995,self.writer = csv.DictWriter(
tensorflow_core.python.keras.callbacks.CSVLogger,collections.OrderedDict,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks.py,2002,row_dict = collections.OrderedDict({'epoch': epoch})
tensorflow_core.python.keras.callbacks.EarlyStopping,tensorflow_core.python.keras.callbacks.Callback,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks.py,1139,class EarlyStopping(Callback):
tensorflow_core.python.keras.callbacks.History,tensorflow_core.python.keras.callbacks.Callback,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks.py,773,class History(Callback):
tensorflow_core.python.keras.callbacks.LambdaCallback,tensorflow_core.python.keras.callbacks.Callback,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks.py,2013,class LambdaCallback(Callback):
tensorflow_core.python.keras.callbacks.LearningRateScheduler,tensorflow_core.python.keras.callbacks.Callback,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks.py,1316,class LearningRateScheduler(Callback):
tensorflow_core.python.keras.callbacks.LearningRateScheduler,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks.py,1347,"raise ValueError('Optimizer must have a ""lr"" attribute.')"
tensorflow_core.python.keras.callbacks.LearningRateScheduler,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks.py,1354,"raise ValueError('The output of the ""schedule"" function '"
tensorflow_core.python.keras.callbacks.ModelCheckpoint,tensorflow_core.python.keras.callbacks.Callback,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks.py,793,class ModelCheckpoint(Callback):
tensorflow_core.python.keras.callbacks.ModelCheckpoint,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks.py,889,raise ValueError('Unrecognized save_freq: {}'.format(self.save_freq))
tensorflow_core.python.keras.callbacks.ModelCheckpoint,tensorflow.python.keras.distribute.multi_worker_training_state.MultiWorkerTrainingState,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks.py,909,"training_state.MultiWorkerTrainingState(self.model, self.filepath))"
tensorflow_core.python.keras.callbacks.ModelCheckpoint,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks.py,933,raise ValueError('Error loading file from {}. Reason: {}'.format(
tensorflow_core.python.keras.callbacks.ProgbarLogger,tensorflow_core.python.keras.callbacks.Callback,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks.py,694,class ProgbarLogger(Callback):
tensorflow_core.python.keras.callbacks.ProgbarLogger,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks.py,717,raise ValueError('Unknown `count_mode`: ' + str(count_mode))
tensorflow_core.python.keras.callbacks.ProgbarLogger,tensorflow.python.keras.utils.generic_utils.Progbar,constructor_call_composition,constructor_call,composition,owned_component_instantiation,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks.py,734,self.progbar = Progbar(
tensorflow_core.python.keras.callbacks.ReduceLROnPlateau,tensorflow_core.python.keras.callbacks.Callback,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks.py,1797,class ReduceLROnPlateau(Callback):
tensorflow_core.python.keras.callbacks.ReduceLROnPlateau,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks.py,1846,raise ValueError('ReduceLROnPlateau ' 'does not support a factor >= 1.0.')
tensorflow_core.python.keras.callbacks.RemoteMonitor,tensorflow_core.python.keras.callbacks.Callback,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks.py,1260,class RemoteMonitor(Callback):
tensorflow_core.python.keras.callbacks.RemoteMonitor,ImportError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks.py,1297,raise ImportError('RemoteMonitor requires the `requests` library.')
tensorflow_core.python.keras.callbacks.TensorBoard,tensorflow_core.python.keras.callbacks.Callback,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks.py,1367,class TensorBoard(Callback):
tensorflow_core.python.keras.callbacks.TensorBoard,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks.py,1492,raise ValueError('Unrecognized arguments in `TensorBoard` '
tensorflow_core.python.keras.callbacks.TensorBoard,ImportError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks.py,1526,raise ImportError('Failed to import TensorBoard. Please make sure that '
tensorflow_core.python.keras.callbacks.TensorBoard,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks.py,1542,raise ValueError('Unrecognized `Embedding` layer names passed to '
tensorflow_core.python.keras.callbacks.TensorBoard,DummyWriter,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks.py,1555,writer = DummyWriter(self.log_dir)
tensorflow_core.python.keras.callbacks.TensorBoard,tensorflow.python.ops.variables.Variable,constructor_call_composition,constructor_call,composition,owned_component_instantiation,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks.py,1609,"self._train_run_name: variables.Variable(0, dtype='int64'),"
tensorflow_core.python.keras.callbacks.TensorBoard,tensorflow.python.ops.variables.Variable,constructor_call_composition,constructor_call,composition,owned_component_instantiation,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks.py,1610,"self._validation_run_name: variables.Variable(0, dtype='int64')"
tensorflow_core.python.keras.callbacks.TerminateOnNaN,tensorflow_core.python.keras.callbacks.Callback,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks.py,680,class TerminateOnNaN(Callback):
tensorflow_core.python.keras.callbacks_v1.TensorBoard,tensorflow.python.keras.callbacks.Callback,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks_v1.py,42,class TensorBoard(callbacks.Callback):
tensorflow_core.python.keras.callbacks_v1.TensorBoard,UserWarning,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks_v1.py,135,UserWarning('Weight and gradient histograms not supported for eager'
tensorflow_core.python.keras.callbacks_v1.TensorBoard,tensorflow.python.summary.summary.FileWriter,constructor_call_composition,constructor_call,composition,owned_component_instantiation,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks_v1.py,173,"self.writer = tf_summary.FileWriter(self.log_dir, K.get_graph())"
tensorflow_core.python.keras.callbacks_v1.TensorBoard,tensorflow.python.summary.summary.FileWriter,constructor_call_composition,constructor_call,composition,owned_component_instantiation,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks_v1.py,175,self.writer = tf_summary.FileWriter(self.log_dir)
tensorflow_core.python.keras.callbacks_v1.TensorBoard,tensorflow.python.ops.variables.Variable,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks_v1.py,273,embedding = variables.Variable(
tensorflow_core.python.keras.callbacks_v1.TensorBoard,tensorflow.python.training.saver.Saver,constructor_call_composition,constructor_call,composition,owned_component_instantiation,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks_v1.py,280,self.saver = saver.Saver(list(embeddings_vars.values()))
tensorflow_core.python.keras.callbacks_v1.TensorBoard,ImportError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks_v1.py,295,raise ImportError('Failed to import TensorBoard. Please make sure that '
tensorflow_core.python.keras.callbacks_v1.TensorBoard,tensorflow.python.summary.summary.Summary,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks_v1.py,338,summary = tf_summary.Summary()
tensorflow_core.python.keras.callbacks_v1.TensorBoard,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/callbacks_v1.py,413,"raise ValueError('To visualize embeddings, embeddings_data must '"
tensorflow_core.python.keras.constraints.MaxNorm,tensorflow_core.python.keras.constraints.Constraint,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/constraints.py,45,class MaxNorm(Constraint):
tensorflow_core.python.keras.constraints.MinMaxNorm,tensorflow_core.python.keras.constraints.Constraint,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/constraints.py,122,class MinMaxNorm(Constraint):
tensorflow_core.python.keras.constraints.NonNeg,tensorflow_core.python.keras.constraints.Constraint,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/constraints.py,82,class NonNeg(Constraint):
tensorflow_core.python.keras.constraints.RadialConstraint,tensorflow_core.python.keras.constraints.Constraint,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/constraints.py,176,class RadialConstraint(Constraint):
tensorflow_core.python.keras.constraints.RadialConstraint,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/constraints.py,206,raise ValueError(
tensorflow_core.python.keras.constraints.RadialConstraint,tensorflow.python.framework.tensor_shape.TensorShape,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/constraints.py,248,"tensor_shape.TensorShape([None, None])])"
tensorflow_core.python.keras.constraints.UnitNorm,tensorflow_core.python.keras.constraints.Constraint,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/constraints.py,91,class UnitNorm(Constraint):
tensorflow_core.python.keras.distribute.distribute_strategy_test.TestDistributionStrategyWithDatasets,tensorflow.python.eager.test.TestCase,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/distribute/distribute_strategy_test.py,708,"class TestDistributionStrategyWithDatasets(test.TestCase,"
tensorflow_core.python.keras.distribute.distribute_strategy_test.TestDistributionStrategyWithDatasets,absl.testing.parameterized.TestCase,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/distribute/distribute_strategy_test.py,709,parameterized.TestCase):
tensorflow_core.python.keras.distribute.distribute_strategy_test.TestDistributionStrategyWithDatasets,tensorflow.python.keras.metrics.CategoricalAccuracy,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/distribute/distribute_strategy_test.py,720,"metrics = ['mae', keras.metrics.CategoricalAccuracy()]"
tensorflow_core.python.keras.distribute.distribute_strategy_test.TestDistributionStrategyWithDatasets,tensorflow.python.keras.metrics.CategoricalAccuracy,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/distribute/distribute_strategy_test.py,756,"metrics=['mae', keras.metrics.CategoricalAccuracy()],"
tensorflow_core.python.keras.distribute.distribute_strategy_test.TestDistributionStrategyWithDatasets,tensorflow.python.keras.metrics.CategoricalAccuracy,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/distribute/distribute_strategy_test.py,764,"metrics=['mae', keras.metrics.CategoricalAccuracy()],"
tensorflow_core.python.keras.distribute.distribute_strategy_test.TestDistributionStrategyWithDatasets,tensorflow.python.keras.metrics.CategoricalAccuracy,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/distribute/distribute_strategy_test.py,808,"metrics = ['mae', keras.metrics.CategoricalAccuracy()]"
tensorflow_core.python.keras.distribute.distribute_strategy_test.TestDistributionStrategyWithDatasets,tensorflow.python.keras.layers.Input,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/tensorflow/tensorflow-1.15.0/lib/python3.6/site-packages/tensorflow_core/python/keras/distribute/distribute_strategy_test.py,848,"input_img = keras.layers.Input([64, 64, 3], name='img')"
