source,target,edge_type,base_edge_type,dependency_layer,semantic_role,file,line,evidence
torch.nn._functions.dropout.AlphaDropout,torch.nn._functions.dropout.Dropout,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/dropout.py,71,class AlphaDropout(Dropout):
torch.nn._functions.dropout.AlphaDropout,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/dropout.py,85,"raise ValueError(""dropout probability has to be between 0 and 1, """
torch.nn._functions.dropout.Dropout,torch.autograd.function.InplaceFunction,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/dropout.py,6,class Dropout(InplaceFunction):
torch.nn._functions.dropout.Dropout,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/dropout.py,21,"raise ValueError(""dropout probability has to be between 0 and 1, """
torch.nn._functions.dropout.FeatureAlphaDropout,torch.nn._functions.dropout.AlphaDropout,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/dropout.py,116,class FeatureAlphaDropout(AlphaDropout):
torch.nn._functions.dropout.FeatureDropout,torch.nn._functions.dropout.Dropout,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/dropout.py,54,class FeatureDropout(Dropout):
torch.nn._functions.packing.PackPadded,torch.autograd.Function,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/packing.py,5,class PackPadded(Function):
torch.nn._functions.packing.PackPadded,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/packing.py,12,"raise ValueError(""Length of all samples has to be greater than 0, """
torch.nn._functions.packing.PackPadded,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/packing.py,24,"raise ValueError(""Expected `len(lengths)` to be equal to batch_size, but got """
torch.nn._functions.packing.PackPadded,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/packing.py,36,"raise ValueError(""'lengths' array has to be sorted in decreasing order"")"
torch.nn._functions.packing.PackPadded,torch.LongTensor,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/packing.py,42,"return torch.cat(steps), torch.LongTensor(batch_sizes)"
torch.nn._functions.padding.ConstantPadNd,torch.autograd.Function,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/padding.py,5,class ConstantPadNd(Function):
torch.nn._functions.padding.ConstantPadNd,torch.autograd.Variable,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/padding.py,48,grad_input = Variable(grad_output.data.new(ctx.input_size).zero_())
torch.nn._functions.thnn.fold.Col2Im,torch.autograd.function.Function,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/thnn/fold.py,7,class Col2Im(Function):
torch.nn._functions.thnn.fold.Im2Col,torch.autograd.function.Function,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/thnn/fold.py,47,class Im2Col(Function):
torch.nn._functions.thnn.normalization.CrossMapLRN2d,torch.autograd.function.Function,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/thnn/normalization.py,8,class CrossMapLRN2d(Function):
torch.nn._functions.thnn.rnnFusedPointwise.GRUFused,torch.autograd.function.Function,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/thnn/rnnFusedPointwise.py,6,class GRUFused(Function):
torch.nn._functions.thnn.rnnFusedPointwise.LSTMFused,torch.autograd.function.Function,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/thnn/rnnFusedPointwise.py,52,class LSTMFused(Function):
torch.nn._functions.thnn.sparse.EmbeddingBag,torch.autograd.function.Function,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/thnn/sparse.py,13,class EmbeddingBag(Function):
torch.nn._functions.thnn.sparse.EmbeddingBag,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/thnn/sparse.py,39,"raise ValueError(""mode needs to be 'sum' or 'mean', but got {}"""
torch.nn._functions.thnn.sparse.EmbeddingBag,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/thnn/sparse.py,50,"raise ValueError(""offsets has to be a 1D Tensor"")"
torch.nn._functions.thnn.sparse.EmbeddingBag,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/thnn/sparse.py,53,"raise ValueError(""offsets[0] has to be 0, i.e. the first sequence"""
torch.nn._functions.thnn.sparse.EmbeddingBag,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/thnn/sparse.py,57,"raise ValueError(""offsets[-1] has to be smaller than indices's length"""
torch.nn._functions.thnn.sparse.EmbeddingBag,torch.cuda.LongTensor,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/thnn/sparse.py,120,_sorted = torch.cuda.LongTensor()
torch.nn._functions.thnn.sparse.EmbeddingBag,torch.cuda.LongTensor,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/thnn/sparse.py,121,_indices = torch.cuda.LongTensor()
torch.nn._functions.thnn.sparse.EmbeddingBag,torch.cuda.LongTensor,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/thnn/sparse.py,122,_count = torch.cuda.LongTensor()
torch.nn._functions.thnn.sparse.EmbeddingBag,torch.IntTensor,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/thnn/sparse.py,124,_count = torch.IntTensor()
torch.nn._functions.vision.AffineGridGenerator,torch.autograd.Function,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/vision.py,25,class AffineGridGenerator(Function):
torch.nn._functions.vision.AffineGridGenerator,RuntimeError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/vision.py,30,"raise RuntimeError(""AffineGridGenerator needs CuDNN for """
torch.nn._functions.vision.AffineGridGenerator,torch.Tensor,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/vision.py,44,"linear_points = torch.linspace(-1, 1, W) if W > 1 else torch.Tensor([-1])"
torch.nn._functions.vision.AffineGridGenerator,torch.Tensor,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/vision.py,46,"linear_points = torch.linspace(-1, 1, H) if H > 1 else torch.Tensor([-1])"
torch.nn._functions.vision.AffineGridGenerator,torch.Size,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/vision.py,58,"assert grad_grid.size() == torch.Size([N, H, W, 2])"
torch.nn.backends.backend.FunctionBackend,RuntimeError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/backends/backend.py,15,"raise RuntimeError(""Trying to register second function under name "" + name + "" in "" + type(self).__name__)"
torch.nn.backends.thnn.THNNFunctionBackend,torch.nn.backends.backend.FunctionBackend,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/backends/thnn.py,4,class THNNFunctionBackend(FunctionBackend):
torch.nn.functional._Reduction,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/functional.py,30,"raise ValueError(reduction + "" is not a valid value for reduction"")"
torch.nn.modules.activation.ELU,torch.nn.modules.module.Module,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/modules/activation.py,267,class ELU(Module):
torch.nn.modules.activation.GLU,torch.nn.modules.module.Module,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/modules/activation.py,341,class GLU(Module):
torch.nn.modules.activation.Hardshrink,torch.nn.modules.module.Module,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/modules/activation.py,372,class Hardshrink(Module):
torch.nn.modules.activation.Hardtanh,torch.nn.modules.module.Module,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/modules/activation.py,135,class Hardtanh(Module):
torch.nn.modules.activation.LeakyReLU,torch.nn.modules.module.Module,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/modules/activation.py,412,class LeakyReLU(Module):
torch.nn.modules.activation.LogSigmoid,torch.nn.modules.module.Module,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/modules/activation.py,454,class LogSigmoid(Module):
torch.nn.modules.activation.LogSoftmax,torch.nn.modules.module.Module,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/modules/activation.py,751,class LogSoftmax(Module):
torch.nn.modules.activation.PReLU,torch.nn.modules.module.Module,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/modules/activation.py,555,class PReLU(Module):
torch.nn.modules.activation.PReLU,torch.nn.parameter.Parameter,constructor_call_composition,constructor_call,composition,owned_component_instantiation,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/modules/activation.py,595,self.weight = Parameter(torch.Tensor(num_parameters).fill_(init))
torch.nn.modules.activation.PReLU,torch.Tensor,constructor_call_composition,constructor_call,composition,owned_component_instantiation,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/modules/activation.py,595,self.weight = Parameter(torch.Tensor(num_parameters).fill_(init))
torch.nn.modules.activation.RReLU,torch.nn.modules.module.Module,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/modules/activation.py,84,class RReLU(Module):
torch.nn.modules.activation.ReLU,torch.nn.modules.activation.Threshold,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/modules/activation.py,55,class ReLU(Threshold):
torch.nn.modules.activation.ReLU6,torch.nn.modules.activation.Hardtanh,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/modules/activation.py,196,class ReLU6(Hardtanh):
torch.nn.modules.activation.SELU,torch.nn.modules.module.Module,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/modules/activation.py,302,class SELU(Module):
torch.nn.modules.activation.Sigmoid,torch.nn.modules.module.Module,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/modules/activation.py,224,class Sigmoid(Module):
torch.nn.modules.activation.Softmax,torch.nn.modules.module.Module,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/modules/activation.py,679,class Softmax(Module):
torch.nn.modules.activation.Softmax2d,torch.nn.modules.module.Module,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/modules/activation.py,724,class Softmax2d(Module):
torch.nn.modules.activation.Softmin,torch.nn.modules.module.Module,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/modules/activation.py,646,class Softmin(Module):
torch.nn.modules.activation.Softplus,torch.nn.modules.module.Module,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/modules/activation.py,475,class Softplus(Module):
torch.nn.modules.activation.Softshrink,torch.nn.modules.module.Module,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/modules/activation.py,514,class Softshrink(Module):
torch.nn.modules.activation.Softsign,torch.nn.modules.module.Module,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/modules/activation.py,604,class Softsign(Module):
torch.nn.modules.activation.Tanh,torch.nn.modules.module.Module,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/modules/activation.py,245,class Tanh(Module):
torch.nn.modules.activation.Tanhshrink,torch.nn.modules.module.Module,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/modules/activation.py,625,class Tanhshrink(Module):
torch.nn.modules.activation.Threshold,torch.nn.modules.module.Module,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/modules/activation.py,9,class Threshold(Module):
torch.nn.modules.adaptive.AdaptiveLogSoftmaxWithLoss,torch.nn.modules.module.Module,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/modules/adaptive.py,15,class AdaptiveLogSoftmaxWithLoss(Module):
torch.nn.modules.adaptive.AdaptiveLogSoftmaxWithLoss,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/modules/adaptive.py,114,"raise ValueError(""cutoffs should be a sequence of unique, positive """
torch.nn.modules.adaptive.AdaptiveLogSoftmaxWithLoss,torch.nn.modules.linear.Linear,constructor_call_composition,constructor_call,composition,owned_component_instantiation,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/modules/adaptive.py,128,"self.head = Linear(self.in_features, self.head_size, bias=self.head_bias)"
torch.nn.modules.adaptive.AdaptiveLogSoftmaxWithLoss,torch.nn.modules.container.ModuleList,constructor_call_composition,constructor_call,composition,owned_component_instantiation,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/modules/adaptive.py,129,self.tail = ModuleList()
torch.nn.modules.adaptive.AdaptiveLogSoftmaxWithLoss,torch.nn.modules.container.Sequential,constructor_call_temporary,constructor_call,temporary_object,temporary_or_configuration_instantiation,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/modules/adaptive.py,136,projection = Sequential(
torch.nn.modules.adaptive.AdaptiveLogSoftmaxWithLoss,torch.nn.modules.linear.Linear,constructor_call_temporary,constructor_call,temporary_object,temporary_or_configuration_instantiation,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/modules/adaptive.py,137,"Linear(self.in_features, hsz, bias=False),"
torch.nn.modules.adaptive.AdaptiveLogSoftmaxWithLoss,torch.nn.modules.linear.Linear,constructor_call_temporary,constructor_call,temporary_object,temporary_or_configuration_instantiation,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/modules/adaptive.py,138,"Linear(hsz, osz, bias=False)"
torch.nn.modules.adaptive.AdaptiveLogSoftmaxWithLoss,RuntimeError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/modules/adaptive.py,151,raise RuntimeError('Input and target should have the same size '
torch.nn.modules.adaptive.AdaptiveLogSoftmaxWithLoss,RuntimeError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/modules/adaptive.py,191,"raise RuntimeError(""Target values should be in [0, {}], """
