node_id,kind,module,qualname,file,line_start,line_end,is_external,source_kind
AttributeError,class,,AttributeError,.,-1,-1,True,external_placeholder
IndexError,class,,IndexError,.,-1,-1,True,external_placeholder
KeyError,class,,KeyError,.,-1,-1,True,external_placeholder
Queue.Queue,class,Queue,Queue,.,-1,-1,True,external_placeholder
RuntimeError,class,,RuntimeError,.,-1,-1,True,external_placeholder
TypeError,class,,TypeError,.,-1,-1,True,external_placeholder
ValueError,class,,ValueError,.,-1,-1,True,external_placeholder
collections.OrderedDict,class,collections,OrderedDict,.,-1,-1,True,external_placeholder
threading.Event,class,threading,Event,.,-1,-1,True,external_placeholder
threading.Lock,class,threading,Lock,.,-1,-1,True,external_placeholder
threading.Thread,class,threading,Thread,.,-1,-1,True,external_placeholder
torch.IntTensor,class,torch,IntTensor,.,-1,-1,True,external_placeholder
torch.LongTensor,class,torch,LongTensor,.,-1,-1,True,external_placeholder
torch.Size,class,torch,Size,.,-1,-1,True,external_placeholder
torch.Tensor,class,torch,Tensor,.,-1,-1,True,external_placeholder
torch.autograd.Function,class,torch.autograd,Function,.,-1,-1,True,external_placeholder
torch.autograd.Variable,class,torch.autograd,Variable,.,-1,-1,True,external_placeholder
torch.autograd.function.Function,class,torch.autograd.function,Function,.,-1,-1,True,external_placeholder
torch.autograd.function.InplaceFunction,class,torch.autograd.function,InplaceFunction,.,-1,-1,True,external_placeholder
torch.cuda.Event,class,torch.cuda,Event,.,-1,-1,True,external_placeholder
torch.cuda.LongTensor,class,torch.cuda,LongTensor,.,-1,-1,True,external_placeholder
torch.cuda.Stream,class,torch.cuda,Stream,.,-1,-1,True,external_placeholder
torch.nn._functions.dropout.AlphaDropout,class,torch.nn._functions.dropout,AlphaDropout,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/dropout.py,71,113,False,python_source
torch.nn._functions.dropout.Dropout,class,torch.nn._functions.dropout,Dropout,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/dropout.py,6,51,False,python_source
torch.nn._functions.dropout.FeatureAlphaDropout,class,torch.nn._functions.dropout,FeatureAlphaDropout,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/dropout.py,116,130,False,python_source
torch.nn._functions.dropout.FeatureDropout,class,torch.nn._functions.dropout,FeatureDropout,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/dropout.py,54,68,False,python_source
torch.nn._functions.packing.PackPadded,class,torch.nn._functions.packing,PackPadded,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/packing.py,5,56,False,python_source
torch.nn._functions.padding.ConstantPadNd,class,torch.nn._functions.padding,ConstantPadNd,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/padding.py,5,75,False,python_source
torch.nn._functions.thnn.fold.Col2Im,class,torch.nn._functions.thnn.fold,Col2Im,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/thnn/fold.py,7,44,False,python_source
torch.nn._functions.thnn.fold.Im2Col,class,torch.nn._functions.thnn.fold,Im2Col,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/thnn/fold.py,47,86,False,python_source
torch.nn._functions.thnn.normalization.CrossMapLRN2d,class,torch.nn._functions.thnn.normalization,CrossMapLRN2d,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/thnn/normalization.py,8,135,False,python_source
torch.nn._functions.thnn.rnnFusedPointwise.GRUFused,class,torch.nn._functions.thnn.rnnFusedPointwise,GRUFused,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/thnn/rnnFusedPointwise.py,6,49,False,python_source
torch.nn._functions.thnn.rnnFusedPointwise.LSTMFused,class,torch.nn._functions.thnn.rnnFusedPointwise,LSTMFused,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/thnn/rnnFusedPointwise.py,52,97,False,python_source
torch.nn._functions.thnn.sparse.EmbeddingBag,class,torch.nn._functions.thnn.sparse,EmbeddingBag,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/thnn/sparse.py,13,164,False,python_source
torch.nn._functions.vision.AffineGridGenerator,class,torch.nn._functions.vision,AffineGridGenerator,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/_functions/vision.py,25,68,False,python_source
torch.nn.backends.backend.FunctionBackend,class,torch.nn.backends.backend,FunctionBackend,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/backends/backend.py,2,16,False,python_source
torch.nn.backends.thnn.THNNFunctionBackend,class,torch.nn.backends.thnn,THNNFunctionBackend,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/backends/thnn.py,4,14,False,python_source
torch.nn.functional._Reduction,class,torch.nn.functional,_Reduction,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/functional.py,19,57,False,python_source
torch.nn.modules.activation.ELU,class,torch.nn.modules.activation,ELU,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/modules/activation.py,267,299,False,python_source
torch.nn.modules.activation.GLU,class,torch.nn.modules.activation,GLU,/home/ota/VM/pytorch/pytorch-0.4.1/lib/python3.6/site-packages/torch/nn/modules/activation.py,341,369,False,python_source
