source,target,edge_type,base_edge_type,dependency_layer,semantic_role,file,line,evidence
sklearn.base.BaseEstimator,RuntimeError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/sklearn/sklearn-0.21.3/lib/python3.6/site-packages/sklearn/base.py,168,"raise RuntimeError(""scikit-learn estimators should always """
sklearn.base.BaseEstimator,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/sklearn/sklearn-0.21.3/lib/python3.6/site-packages/sklearn/base.py,221,raise ValueError('Invalid parameter %s for estimator %s. '
sklearn.calibration.CalibratedClassifierCV,sklearn.base.BaseEstimator,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/sklearn/sklearn-0.21.3/lib/python3.6/site-packages/sklearn/calibration.py,30,"class CalibratedClassifierCV(BaseEstimator, ClassifierMixin):"
sklearn.calibration.CalibratedClassifierCV,sklearn.base.ClassifierMixin,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/sklearn/sklearn-0.21.3/lib/python3.6/site-packages/sklearn/calibration.py,30,"class CalibratedClassifierCV(BaseEstimator, ClassifierMixin):"
sklearn.calibration.CalibratedClassifierCV,sklearn.preprocessing.label.LabelBinarizer,constructor_call_temporary,constructor_call,temporary_object,temporary_or_configuration_instantiation,/home/ota/VM/sklearn/sklearn-0.21.3/lib/python3.6/site-packages/sklearn/calibration.py,135,le = LabelBinarizer().fit(y)
sklearn.calibration.CalibratedClassifierCV,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/sklearn/sklearn-0.21.3/lib/python3.6/site-packages/sklearn/calibration.py,145,"raise ValueError(""Requesting %d-fold cross-validation but provided"""
sklearn.calibration.CalibratedClassifierCV,sklearn.svm.classes.LinearSVC,constructor_call_temporary,constructor_call,temporary_object,temporary_or_configuration_instantiation,/home/ota/VM/sklearn/sklearn-0.21.3/lib/python3.6/site-packages/sklearn/calibration.py,153,base_estimator = LinearSVC(random_state=0)
sklearn.calibration._CalibratedClassifier,RuntimeError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/sklearn/sklearn-0.21.3/lib/python3.6/site-packages/sklearn/calibration.py,308,raise RuntimeError('classifier has no decision_function or '
sklearn.calibration._CalibratedClassifier,sklearn.preprocessing.label.LabelEncoder,constructor_call_composition,constructor_call,composition,owned_component_instantiation,/home/ota/VM/sklearn/sklearn-0.21.3/lib/python3.6/site-packages/sklearn/calibration.py,336,self.label_encoder_ = LabelEncoder()
sklearn.calibration._CalibratedClassifier,sklearn.isotonic.IsotonicRegression,constructor_call_temporary,constructor_call,temporary_object,temporary_or_configuration_instantiation,/home/ota/VM/sklearn/sklearn-0.21.3/lib/python3.6/site-packages/sklearn/calibration.py,350,calibrator = IsotonicRegression(out_of_bounds='clip')
sklearn.calibration._CalibratedClassifier,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/sklearn/sklearn-0.21.3/lib/python3.6/site-packages/sklearn/calibration.py,354,"raise ValueError('method should be ""sigmoid"" or '"
sklearn.calibration._SigmoidCalibration,sklearn.base.BaseEstimator,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/sklearn/sklearn-0.21.3/lib/python3.6/site-packages/sklearn/calibration.py,467,"class _SigmoidCalibration(BaseEstimator, RegressorMixin):"
sklearn.calibration._SigmoidCalibration,sklearn.base.RegressorMixin,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/sklearn/sklearn-0.21.3/lib/python3.6/site-packages/sklearn/calibration.py,467,"class _SigmoidCalibration(BaseEstimator, RegressorMixin):"
sklearn.cluster._feature_agglomeration.AgglomerationTransform,sklearn.base.TransformerMixin,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/sklearn/sklearn-0.21.3/lib/python3.6/site-packages/sklearn/cluster/_feature_agglomeration.py,19,class AgglomerationTransform(TransformerMixin):
sklearn.cluster._feature_agglomeration.AgglomerationTransform,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/sklearn/sklearn-0.21.3/lib/python3.6/site-packages/sklearn/cluster/_feature_agglomeration.py,46,"raise ValueError(""X has a different number of features than """
sklearn.cluster.affinity_propagation_.AffinityPropagation,sklearn.base.BaseEstimator,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/sklearn/sklearn-0.21.3/lib/python3.6/site-packages/sklearn/cluster/affinity_propagation_.py,236,"class AffinityPropagation(BaseEstimator, ClusterMixin):"
sklearn.cluster.affinity_propagation_.AffinityPropagation,sklearn.base.ClusterMixin,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/sklearn/sklearn-0.21.3/lib/python3.6/site-packages/sklearn/cluster/affinity_propagation_.py,236,"class AffinityPropagation(BaseEstimator, ClusterMixin):"
sklearn.cluster.affinity_propagation_.AffinityPropagation,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/sklearn/sklearn-0.21.3/lib/python3.6/site-packages/sklearn/cluster/affinity_propagation_.py,373,"raise ValueError(""Affinity must be 'precomputed' or """
sklearn.cluster.affinity_propagation_.AffinityPropagation,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/sklearn/sklearn-0.21.3/lib/python3.6/site-packages/sklearn/cluster/affinity_propagation_.py,403,"raise ValueError(""Predict method is not supported when """
sklearn.cluster.bicluster.BaseSpectral,sklearn.base.BaseEstimator,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/sklearn/sklearn-0.21.3/lib/python3.6/site-packages/sklearn/cluster/bicluster.py,87,"class BaseSpectral(BaseEstimator, BiclusterMixin, metaclass=ABCMeta):"
sklearn.cluster.bicluster.BaseSpectral,sklearn.base.BiclusterMixin,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/sklearn/sklearn-0.21.3/lib/python3.6/site-packages/sklearn/cluster/bicluster.py,87,"class BaseSpectral(BaseEstimator, BiclusterMixin, metaclass=ABCMeta):"
sklearn.cluster.bicluster.BaseSpectral,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/sklearn/sklearn-0.21.3/lib/python3.6/site-packages/sklearn/cluster/bicluster.py,106,"raise ValueError(""Unknown SVD method: '{0}'. svd_method must be"""
sklearn.cluster.bicluster.BaseSpectral,sklearn.cluster.k_means_.MiniBatchKMeans,constructor_call_temporary,constructor_call,temporary_object,temporary_or_configuration_instantiation,/home/ota/VM/sklearn/sklearn-0.21.3/lib/python3.6/site-packages/sklearn/cluster/bicluster.py,165,"model = MiniBatchKMeans(n_clusters,"
sklearn.cluster.bicluster.BaseSpectral,sklearn.cluster.k_means_.KMeans,constructor_call_temporary,constructor_call,temporary_object,temporary_or_configuration_instantiation,/home/ota/VM/sklearn/sklearn-0.21.3/lib/python3.6/site-packages/sklearn/cluster/bicluster.py,170,"model = KMeans(n_clusters, init=self.init,"
sklearn.cluster.bicluster.SpectralBiclustering,sklearn.cluster.bicluster.BaseSpectral,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/sklearn/sklearn-0.21.3/lib/python3.6/site-packages/sklearn/cluster/bicluster.py,312,class SpectralBiclustering(BaseSpectral):
sklearn.cluster.bicluster.SpectralBiclustering,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/sklearn/sklearn-0.21.3/lib/python3.6/site-packages/sklearn/cluster/bicluster.py,448,"raise ValueError(""Unknown method: '{0}'. method must be"""
sklearn.cluster.bicluster.SpectralBiclustering,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/sklearn/sklearn-0.21.3/lib/python3.6/site-packages/sklearn/cluster/bicluster.py,458,"raise ValueError(""Incorrect parameter n_clusters has value:"""
