graph_name,num_nodes,num_edges,avg_degree,max_degree,zero_degree_count,avg_clustering_coefficient,transitivity,scc_count,max_scc_size,max_core,pagerank_mean,pagerank_max,betti_0,betti_1,persistent_entropy
full_graphml,598,1635,5.468227424749164,585,34,0.13447952831450113,0.022104418451961188,592,6,5,0.0016722408026755803,0.09751030388498416,51,631,5.9857469492934285
full_csv,598,1635,5.45819397993311,585,34,0.13447952831450113,0.022104418451961188,592,6,5,0.0016722408026755783,0.09751030388498416,51,631,5.984841758561244
layer_inheritance,598,671,2.2441471571906355,162,100,0.002305559851243531,0.0005175983436853002,598,1,3,0.0016722408026756165,0.12249553766577294,131,204,5.888383636364617
layer_composition,598,52,0.17391304347826086,8,536,0.0,0.0,598,1,2,0.0016722408026755699,0.008545306161816474,554,3,3.5657044319821725
layer_registration,598,17,0.056856187290969896,8,582,0.0,0.0,598,1,2,0.0016722408026756165,0.002195894232854848,584,3,2.38016040943288
layer_type_dependency,598,0,0.0,0,598,0.0,0.0,598,1,0,0.0016722408026755844,0.0016722408026755846,598,0,0.0
layer_control_flow_or_error,598,663,2.217391304347826,583,380,0.0,0.0,598,1,3,0.0016722408026756447,0.19335779742091586,382,46,5.160154081861761
layer_temporary_object,598,177,0.5919732441471572,30,440,0.019259600968746397,0.03376205787781351,598,1,3,0.0016722408026755434,0.04353216244255884,467,15,4.6610360179284935
layer_external_dependency,598,53,0.17725752508361203,35,549,0.0,0.0,598,1,2,0.0016722408026755913,0.03341689105423507,557,3,3.4994651389252582
