graph_name,num_nodes,num_edges,avg_degree,max_degree,zero_degree_count,avg_clustering_coefficient,transitivity,scc_count,max_scc_size,max_core,pagerank_mean,pagerank_max,betti_0,betti_1,persistent_entropy
full_graphml,742,2713,7.3126684636118595,545,43,0.11585531005416633,0.02181931528910593,735,6,6,0.0013477088948787071,0.08612305468646875,53,1105,6.204468154758699
full_csv,742,2713,7.30188679245283,545,43,0.11585531005416633,0.02181931528910593,735,6,6,0.0013477088948787175,0.08612305468646876,53,1105,6.175639430897886
layer_inheritance,742,842,2.269541778975741,197,142,0.0021372906709169357,0.00046727152369456016,742,1,3,0.0013477088948787054,0.10086867466811751,172,272,6.079360551417776
layer_composition,742,77,0.20754716981132076,15,660,0.0,0.0,742,1,2,0.001347708894878702,0.009961267038914801,683,3,3.8658885163566286
layer_registration,742,19,0.05121293800539083,8,723,0.0,0.0,742,1,2,0.001347708894878726,0.002621398748359711,726,3,2.5235658186176724
layer_type_dependency,742,2,0.0026954177897574125,1,740,0.0,0.0,741,2,1,0.0013477088948787366,0.007973816046074991,741,0,0.0
layer_control_flow_or_error,742,644,1.7358490566037736,539,508,0.0,0.0,742,1,3,0.001347708894878737,0.16712166150153696,511,52,5.226102944235742
layer_temporary_object,742,1089,2.9353099730458223,479,410,0.024707212345947648,0.004380361379813835,742,1,4,0.0013477088948787232,0.0648147596953675,419,238,5.547809339914543
layer_external_dependency,742,35,0.09433962264150944,4,685,0.0,0.0,742,1,1,0.0013477088948786599,0.00463578361518309,709,0,3.2871907461368104
