graph_name,num_nodes,num_edges,avg_degree,max_degree,zero_degree_count,avg_clustering_coefficient,transitivity,scc_count,max_scc_size,max_core,pagerank_mean,pagerank_max,betti_0,betti_1,persistent_entropy
full_graphml,760,2906,7.647368421052631,554,44,0.11607080230031619,0.024489943568224568,753,6,7,0.0013157894736842157,0.07487912523539998,53,1212,6.217537315892958
full_csv,760,2906,7.636842105263158,554,44,0.11607080230031619,0.024489943568224568,753,6,7,0.0013157894736842164,0.0748791252354,53,1212,6.193587708267968
layer_inheritance,760,878,2.3105263157894735,214,146,0.002086639363975293,0.0004031039000302328,760,1,3,0.0013157894736842229,0.10573255638599102,174,292,6.102308423367142
layer_composition,760,86,0.22631578947368422,15,670,0.0,0.0,760,1,2,0.0013157894736842298,0.009706670504420914,694,3,3.9800995532802834
layer_registration,760,19,0.05,8,741,0.0,0.0,760,1,2,0.0013157894736841817,0.002559660152263427,744,3,2.5279189005240323
layer_type_dependency,760,3,0.005263157894736842,1,756,0.0,0.0,759,2,1,0.0013157894736842081,0.007624996483169298,758,0,0.0
layer_control_flow_or_error,760,659,1.7342105263157894,548,528,0.0,0.0,760,1,3,0.0013157894736841788,0.15836968059341097,531,52,5.217536458613035
layer_temporary_object,760,1218,3.205263157894737,480,421,0.03716024787327755,0.011142642517319088,760,1,6,0.0013157894736841966,0.06335018941116223,429,313,5.557424866879609
layer_external_dependency,760,37,0.09736842105263158,5,704,0.0,0.0,760,1,1,0.0013157894736841552,0.005613808949655926,726,0,3.317544660665184
