graph_name,num_nodes,num_edges,avg_degree,max_degree,zero_degree_count,avg_clustering_coefficient,transitivity,scc_count,max_scc_size,max_core,pagerank_mean,pagerank_max,betti_0,betti_1,persistent_entropy
full_graphml,751,2818,7.504660452729694,551,47,0.1102060294230057,0.024815396094373117,744,6,7,0.0013315579227696395,0.08156129371604674,59,1167,6.202389843541437
full_csv,751,2818,7.494007989347536,551,47,0.11020602942300567,0.024815396094373117,744,6,7,0.00133155792276963,0.0815612937160468,59,1167,6.17216375361189
layer_inheritance,751,860,2.2902796271637818,201,146,0.0021116691603803315,0.0004515012416284145,751,1,3,0.0013315579227696419,0.10195560478426666,177,286,6.0828202815616725
layer_composition,751,82,0.21837549933422104,15,666,0.0,0.0,751,1,2,0.0013315579227696189,0.00982708531493852,689,3,3.9161696677994664
layer_registration,751,19,0.05059920106524634,8,732,0.0,0.0,751,1,2,0.0013315579227695979,0.00259016161099885,735,3,2.5235658186176724
layer_type_dependency,751,2,0.002663115845539281,1,749,0.0,0.0,750,2,1,0.0013315579227696037,0.00772377858157951,750,0,0.0
layer_control_flow_or_error,751,655,1.744340878828229,545,521,0.0,0.0,751,1,3,0.0013315579227696063,0.15926879434845778,524,52,5.208825703490798
layer_temporary_object,751,1157,3.081225033288948,480,424,0.0379956333038183,0.00967067433350758,751,1,5,0.0013315579227696417,0.06457010399607468,433,290,5.523591274807868
layer_external_dependency,751,38,0.10119840213049268,5,692,0.0,0.0,751,1,1,0.0013315579227696482,0.00567281514666397,716,0,3.3470032018447657
