graph_name,num_nodes,num_edges,avg_degree,max_degree,zero_degree_count,avg_clustering_coefficient,transitivity,scc_count,max_scc_size,max_core,pagerank_mean,pagerank_max,betti_0,betti_1,persistent_entropy
full_graphml,452,1195,5.287610619469026,383,22,0.12281956444078304,0.03026280860100876,451,2,4,0.002212389380530977,0.08739186858517368,31,442,5.7476209762507375
full_csv,452,1195,5.283185840707965,383,22,0.12281956444078304,0.03026280860100876,451,2,4,0.002212389380530976,0.08739186858517368,31,442,5.728506011928701
layer_inheritance,452,491,2.172566371681416,102,84,0.004667517580939324,0.0014892032762472078,452,1,3,0.0022123893805309687,0.09543871162651321,103,142,5.606935941042764
layer_composition,452,40,0.17699115044247787,7,408,0.0,0.0,452,1,2,0.0022123893805309955,0.006573197912531406,421,1,3.238548244872153
layer_registration,452,17,0.0752212389380531,8,436,0.0,0.0,452,1,2,0.0022123893805309773,0.002901199063953443,438,3,2.38016040943288
layer_type_dependency,452,0,0.0,0,452,0.0,0.0,452,1,0,0.002212389380530942,0.0022123893805309526,452,0,0.0
layer_control_flow_or_error,452,463,2.0486725663716814,381,294,0.0,0.0,452,1,2,0.0022123893805309405,0.16626803321839734,298,25,4.818778057449337
layer_temporary_object,452,150,0.6637168141592921,31,309,0.0,0.0,452,1,2,0.002212389380530951,0.023646312983318468,337,6,4.543432631465589
layer_external_dependency,452,21,0.09292035398230089,8,428,0.0,0.0,452,1,1,0.0022123893805309314,0.005852421945464595,437,0,2.477106039569079
