graph_name,num_nodes,num_edges,avg_degree,max_degree,zero_degree_count,avg_clustering_coefficient,transitivity,scc_count,max_scc_size,max_core,pagerank_mean,pagerank_max,betti_0,betti_1,persistent_entropy
full_graphml,568,1564,5.507042253521127,573,32,0.13822991866640894,0.023530954879328436,562,6,5,0.0017605633802816971,0.09720830276924157,46,593,5.9351689898386155
full_csv,568,1564,5.496478873239437,573,32,0.1382299186664089,0.023530954879328436,562,6,5,0.0017605633802817028,0.09720830276924158,46,593,5.9383945563065215
layer_inheritance,568,633,2.2288732394366195,160,96,0.004508005005447206,0.000717660427007954,568,1,3,0.0017605633802817127,0.12387580740330074,126,191,5.831752222439906
layer_composition,568,47,0.16549295774647887,7,513,0.004107981220657277,0.06818181818181818,568,1,2,0.001760563380281739,0.008307638942001165,528,3,3.4681921799864925
layer_registration,568,17,0.05985915492957746,8,552,0.0,0.0,568,1,2,0.0017605633802817,0.0023113551241178295,554,3,2.38016040943288
layer_type_dependency,568,0,0.0,0,568,0.0,0.0,568,1,0,0.0017605633802817223,0.0017605633802817119,568,0,0.0
layer_control_flow_or_error,568,643,2.2640845070422535,571,361,0.0,0.0,568,1,3,0.0017605633802816759,0.1937404790448424,363,43,5.111522175802045
layer_temporary_object,568,173,0.6091549295774648,29,413,0.020284398699891657,0.03903345724907063,568,1,3,0.0017605633802817077,0.03475013423687221,442,15,4.619387697848345
layer_external_dependency,568,47,0.16549295774647887,32,524,0.0,0.0,568,1,2,0.0017605633802817199,0.03171830988599023,531,2,3.395227554714383
