graph_name,num_nodes,num_edges,avg_degree,max_degree,zero_degree_count,avg_clustering_coefficient,transitivity,scc_count,max_scc_size,max_core,pagerank_mean,pagerank_max,betti_0,betti_1,persistent_entropy
full_graphml,565,1458,5.161061946902655,486,39,0.12498895122120843,0.02641349315795057,559,6,4,0.0017699115044247865,0.0917588947649777,50,538,5.959428379456511
full_csv,565,1458,5.150442477876106,486,39,0.12498895122120837,0.02641349315795057,559,6,4,0.0017699115044247909,0.09175889476497773,50,538,5.929061184144621
layer_inheritance,565,586,2.0743362831858407,112,111,0.003982585619753761,0.000909734155463459,565,1,3,0.0017699115044247976,0.10959989989486452,134,155,5.830250091512484
layer_composition,565,44,0.15575221238938053,8,512,0.0,0.0,565,1,2,0.001769911504424769,0.00873385359105977,528,2,3.3921006265760596
layer_registration,565,17,0.06017699115044248,8,549,0.0,0.0,565,1,2,0.0017699115044247492,0.0023235725471048613,551,3,2.38016040943288
layer_type_dependency,565,0,0.0,0,565,0.0,0.0,565,1,0,0.001769911504424758,0.0017699115044247653,565,0,0.0
layer_control_flow_or_error,565,575,2.0353982300884956,484,359,0.0,0.0,565,1,2,0.0017699115044247878,0.17936950278063188,365,37,5.079402885018607
layer_temporary_object,565,192,0.679646017699115,35,393,0.0,0.0,565,1,2,0.001769911504424784,0.023819066393933937,420,10,4.772714014207286
layer_external_dependency,565,30,0.10619469026548672,11,542,0.0,0.0,565,1,1,0.0017699115044247757,0.006171792241612458,550,0,2.477106039569079
