node_id,kind,module,qualname,file,line_start,line_end,is_external,source_kind
AttributeError,class,,AttributeError,.,-1,-1,True,external_placeholder
IndexError,class,,IndexError,.,-1,-1,True,external_placeholder
KeyError,class,,KeyError,.,-1,-1,True,external_placeholder
Queue.Queue,class,Queue,Queue,.,-1,-1,True,external_placeholder
RuntimeError,class,,RuntimeError,.,-1,-1,True,external_placeholder
TypeError,class,,TypeError,.,-1,-1,True,external_placeholder
ValueError,class,,ValueError,.,-1,-1,True,external_placeholder
collections.OrderedDict,class,collections,OrderedDict,.,-1,-1,True,external_placeholder
threading.Event,class,threading,Event,.,-1,-1,True,external_placeholder
threading.Lock,class,threading,Lock,.,-1,-1,True,external_placeholder
threading.Thread,class,threading,Thread,.,-1,-1,True,external_placeholder
torch.IntTensor,class,torch,IntTensor,.,-1,-1,True,external_placeholder
torch.Size,class,torch,Size,.,-1,-1,True,external_placeholder
torch.Tensor,class,torch,Tensor,.,-1,-1,True,external_placeholder
torch.autograd.Function,class,torch.autograd,Function,.,-1,-1,True,external_placeholder
torch.autograd.function.Function,class,torch.autograd.function,Function,.,-1,-1,True,external_placeholder
torch.cuda.Event,class,torch.cuda,Event,.,-1,-1,True,external_placeholder
torch.cuda.LongTensor,class,torch.cuda,LongTensor,.,-1,-1,True,external_placeholder
torch.cuda.Stream,class,torch.cuda,Stream,.,-1,-1,True,external_placeholder
torch.nn._VF.VFModule,class,torch.nn._VF,VFModule,/home/ota/VM/pytorch/pytorch-1.0.0/lib/python3.6/site-packages/torch/nn/_VF.py,6,12,False,python_source
torch.nn._functions.thnn.fold.Col2Im,class,torch.nn._functions.thnn.fold,Col2Im,/home/ota/VM/pytorch/pytorch-1.0.0/lib/python3.6/site-packages/torch/nn/_functions/thnn/fold.py,7,44,False,python_source
torch.nn._functions.thnn.fold.Im2Col,class,torch.nn._functions.thnn.fold,Im2Col,/home/ota/VM/pytorch/pytorch-1.0.0/lib/python3.6/site-packages/torch/nn/_functions/thnn/fold.py,47,86,False,python_source
torch.nn._functions.thnn.normalization.CrossMapLRN2d,class,torch.nn._functions.thnn.normalization,CrossMapLRN2d,/home/ota/VM/pytorch/pytorch-1.0.0/lib/python3.6/site-packages/torch/nn/_functions/thnn/normalization.py,8,135,False,python_source
torch.nn._functions.thnn.sparse.EmbeddingBag,class,torch.nn._functions.thnn.sparse,EmbeddingBag,/home/ota/VM/pytorch/pytorch-1.0.0/lib/python3.6/site-packages/torch/nn/_functions/thnn/sparse.py,13,164,False,python_source
torch.nn.backends.backend.FunctionBackend,class,torch.nn.backends.backend,FunctionBackend,/home/ota/VM/pytorch/pytorch-1.0.0/lib/python3.6/site-packages/torch/nn/backends/backend.py,2,16,False,python_source
torch.nn.backends.thnn.THNNFunctionBackend,class,torch.nn.backends.thnn,THNNFunctionBackend,/home/ota/VM/pytorch/pytorch-1.0.0/lib/python3.6/site-packages/torch/nn/backends/thnn.py,4,14,False,python_source
torch.nn.modules.activation.CELU,class,torch.nn.modules.activation,CELU,/home/ota/VM/pytorch/pytorch-1.0.0/lib/python3.6/site-packages/torch/nn/modules/activation.py,336,377,False,python_source
torch.nn.modules.activation.ELU,class,torch.nn.modules.activation,ELU,/home/ota/VM/pytorch/pytorch-1.0.0/lib/python3.6/site-packages/torch/nn/modules/activation.py,296,332,False,python_source
torch.nn.modules.activation.GLU,class,torch.nn.modules.activation,GLU,/home/ota/VM/pytorch/pytorch-1.0.0/lib/python3.6/site-packages/torch/nn/modules/activation.py,426,456,False,python_source
torch.nn.modules.activation.Hardshrink,class,torch.nn.modules.activation,Hardshrink,/home/ota/VM/pytorch/pytorch-1.0.0/lib/python3.6/site-packages/torch/nn/modules/activation.py,460,498,False,python_source
torch.nn.modules.activation.Hardtanh,class,torch.nn.modules.activation,Hardtanh,/home/ota/VM/pytorch/pytorch-1.0.0/lib/python3.6/site-packages/torch/nn/modules/activation.py,147,207,False,python_source
torch.nn.modules.activation.LeakyReLU,class,torch.nn.modules.activation,LeakyReLU,/home/ota/VM/pytorch/pytorch-1.0.0/lib/python3.6/site-packages/torch/nn/modules/activation.py,502,548,False,python_source
torch.nn.modules.activation.LogSigmoid,class,torch.nn.modules.activation,LogSigmoid,/home/ota/VM/pytorch/pytorch-1.0.0/lib/python3.6/site-packages/torch/nn/modules/activation.py,552,573,False,python_source
torch.nn.modules.activation.LogSoftmax,class,torch.nn.modules.activation,LogSoftmax,/home/ota/VM/pytorch/pytorch-1.0.0/lib/python3.6/site-packages/torch/nn/modules/activation.py,898,936,False,python_source
torch.nn.modules.activation.PReLU,class,torch.nn.modules.activation,PReLU,/home/ota/VM/pytorch/pytorch-1.0.0/lib/python3.6/site-packages/torch/nn/modules/activation.py,664,725,False,python_source
torch.nn.modules.activation.RReLU,class,torch.nn.modules.activation,RReLU,/home/ota/VM/pytorch/pytorch-1.0.0/lib/python3.6/site-packages/torch/nn/modules/activation.py,90,143,False,python_source
torch.nn.modules.activation.ReLU,class,torch.nn.modules.activation,ReLU,/home/ota/VM/pytorch/pytorch-1.0.0/lib/python3.6/site-packages/torch/nn/modules/activation.py,60,86,False,python_source
torch.nn.modules.activation.ReLU6,class,torch.nn.modules.activation,ReLU6,/home/ota/VM/pytorch/pytorch-1.0.0/lib/python3.6/site-packages/torch/nn/modules/activation.py,211,239,False,python_source
torch.nn.modules.activation.SELU,class,torch.nn.modules.activation,SELU,/home/ota/VM/pytorch/pytorch-1.0.0/lib/python3.6/site-packages/torch/nn/modules/activation.py,381,422,False,python_source
torch.nn.modules.activation.Sigmoid,class,torch.nn.modules.activation,Sigmoid,/home/ota/VM/pytorch/pytorch-1.0.0/lib/python3.6/site-packages/torch/nn/modules/activation.py,243,266,False,python_source
