graph_name,num_nodes,num_edges,avg_degree,max_degree,zero_degree_count,avg_clustering_coefficient,transitivity,scc_count,max_scc_size,max_core,pagerank_mean,pagerank_max,betti_0,betti_1,persistent_entropy
full_graphml,730,2058,5.638356164383562,624,24,0.11077559310811944,0.025994836642036855,729,2,5,0.001369863013698633,0.07305448186556411,39,613,6.2620298975381194
full_csv,730,2058,5.635616438356164,624,24,0.11077559310811944,0.025994836642036855,729,2,5,0.0013698630136986377,0.07305448186556401,39,613,6.263393381859327
layer_inheritance,730,545,1.4931506849315068,77,169,0.0,0.0,730,1,2,0.0013698630136986184,0.11196745323533282,217,32,6.038331886887675
layer_composition,730,184,0.5041095890410959,59,567,0.001623080116230801,0.004724409448818898,730,1,2,0.0013698630136986466,0.05334445293124448,594,10,4.708732796573014
layer_registration,730,0,0.0,0,730,0.0,0.0,730,1,0,0.001369863013698659,0.0013698630136986494,730,0,0.0
layer_type_dependency,730,7,0.019178082191780823,6,722,0.0,0.0,730,1,1,0.0013698630136986848,0.00771972814812732,723,0,1.6623769591928221
layer_control_flow_or_error,730,821,2.249315068493151,624,498,0.0,0.0,730,1,4,0.0013698630136986599,0.1564257385020082,500,59,5.234006707516875
layer_temporary_object,730,182,0.4986301369863014,15,573,0.0,0.0,730,1,2,0.0013698630136986356,0.004575193470800127,610,13,4.59432667052184
layer_external_dependency,730,317,0.8684931506849315,141,532,0.0,0.0,730,1,2,0.001369863013698636,0.054553084467756516,553,23,4.960092117319381
