graph_name,num_nodes,num_edges,avg_degree,max_degree,zero_degree_count,avg_clustering_coefficient,transitivity,scc_count,max_scc_size,max_core,pagerank_mean,pagerank_max,betti_0,betti_1,persistent_entropy
full_graphml,534,1315,4.925093632958801,394,15,0.09635540654352219,0.037374221370388115,533,2,5,0.0018726591760299584,0.06961758910987804,28,349,5.977050818384929
full_csv,534,1315,4.921348314606742,394,15,0.09635540654352216,0.037374221370388115,533,2,5,0.0018726591760299498,0.06961758910987804,28,349,5.9776129351172935
layer_inheritance,534,391,1.4644194756554307,60,122,0.0,0.0,534,1,2,0.0018726591760299671,0.10915531994512391,165,22,5.703523014754328
layer_composition,534,103,0.3857677902621723,44,430,0.0,0.0,534,1,1,0.0018726591760299606,0.056562867256393125,449,0,4.243448616712696
layer_registration,534,0,0.0,0,534,0.0,0.0,534,1,0,0.0018726591760299667,0.001872659176029966,534,0,0.0
layer_type_dependency,534,2,0.00749063670411985,2,531,0.0,0.0,534,1,1,0.001872659176029932,0.005040102301845369,532,0,0.0
layer_control_flow_or_error,534,541,2.0262172284644193,394,374,0.0,0.0,534,1,4,0.0018726591760299645,0.14579440479209912,375,44,4.859640741383899
layer_temporary_object,534,95,0.35580524344569286,12,435,0.0,0.0,534,1,2,0.0018726591760300046,0.004753504544847205,462,4,4.08640230623736
layer_external_dependency,534,180,0.6741573033707865,98,406,0.0,0.0,534,1,2,0.0018726591760299803,0.05213066488613748,427,1,4.475741769559209
