graph_name,num_nodes,num_edges,avg_degree,max_degree,zero_degree_count,avg_clustering_coefficient,transitivity,scc_count,max_scc_size,max_core,pagerank_mean,pagerank_max,betti_0,betti_1,persistent_entropy
full_graphml,508,1208,4.755905511811024,287,12,0.03256107539086703,0.008340283569641367,507,2,4,0.001968503937007877,0.05187221995004151,28,312,5.961869075569792
full_csv,508,1208,4.751968503937008,287,12,0.032561075390867035,0.008340283569641367,507,2,4,0.001968503937007875,0.05187221995004148,28,312,5.925364650008445
layer_inheritance,508,340,1.3385826771653544,55,138,0.0,0.0,508,1,2,0.001968503937007861,0.10855670083983274,182,14,5.60816778966493
layer_composition,508,111,0.43700787401574803,52,412,0.002332378907182057,0.006888633754305396,508,1,2,0.001968503937007906,0.06116568390407145,429,5,4.159593663029642
layer_registration,508,0,0.0,0,508,0.0,0.0,508,1,0,0.001968503937007871,0.001968503937007871,508,0,0.0
layer_type_dependency,508,0,0.0,0,508,0.0,0.0,508,1,0,0.001968503937007871,0.001968503937007871,508,0,0.0
layer_control_flow_or_error,508,382,1.5039370078740157,287,394,0.0,0.0,508,1,4,0.001968503937007873,0.11382166785596753,396,31,4.496104343650687
layer_temporary_object,508,22,0.08661417322834646,3,478,0.0,0.0,508,1,1,0.001968503937007888,0.0035583970476489347,492,0,2.544237945879381
layer_external_dependency,508,351,1.3818897637795275,79,337,0.0,0.0,508,1,4,0.0019685039370078306,0.04930701574363762,356,62,4.766111962692409
