graph_name,num_nodes,num_edges,avg_degree,max_degree,zero_degree_count,avg_clustering_coefficient,transitivity,scc_count,max_scc_size,max_core,pagerank_mean,pagerank_max,betti_0,betti_1,persistent_entropy
full_graphml,685,1982,5.786861313868613,501,17,0.09747751952599834,0.029758994062172545,684,2,5,0.0014598540145985344,0.06655978828030358,32,625,6.241913598671316
full_csv,685,1982,5.783941605839416,501,17,0.09747751952599834,0.029758994062172545,684,2,5,0.0014598540145985307,0.06655978828030354,32,625,6.1959983864795944
layer_inheritance,685,526,1.5357664233576642,73,148,0.0,0.0,685,1,2,0.0014598540145985548,0.11066812911607989,202,43,5.984709675517813
layer_composition,685,164,0.47883211678832116,66,545,0.00172528201725282,0.003674219228413962,685,1,2,0.001459854014598504,0.06828983355759936,565,7,4.585155926071816
layer_registration,685,0,0.0,0,685,0.0,0.0,685,1,0,0.001459854014598562,0.0014598540145985541,685,0,0.0
layer_type_dependency,685,0,0.0,0,685,0.0,0.0,685,1,0,0.001459854014598562,0.0014598540145985541,685,0,0.0
layer_control_flow_or_error,685,673,1.9649635036496351,501,487,0.0,0.0,685,1,4,0.0014598540145985568,0.14181231094472768,489,55,5.061621772588119
layer_temporary_object,685,295,0.8613138686131386,59,517,0.0,0.0,685,1,3,0.001459854014598502,0.007616044538835779,548,53,4.7127711451475784
layer_external_dependency,685,321,0.9372262773722628,122,489,0.0,0.0,685,1,2,0.0014598540145985502,0.05199074344327104,511,23,4.955477919018881
