graph_name,num_nodes,num_edges,avg_degree,max_degree,zero_degree_count,avg_clustering_coefficient,transitivity,scc_count,max_scc_size,max_core,pagerank_mean,pagerank_max,betti_0,betti_1,persistent_entropy
full_graphml,742,2235,6.024258760107816,593,17,0.11145207059477279,0.02504662171854827,741,2,5,0.0013477088948787024,0.07368497231586278,32,706,6.316440371528493
full_csv,742,2235,6.02156334231806,593,17,0.11145207059477279,0.02504662171854827,741,2,5,0.001347708894878698,0.07368497231586278,32,706,6.277907803942056
layer_inheritance,742,580,1.5633423180592991,73,163,0.0,0.0,742,1,2,0.0013477088948787206,0.10485284102777821,213,51,6.07629766983792
layer_composition,742,183,0.49326145552560646,58,588,0.0015927468757657435,0.004788507581803671,742,1,2,0.001347708894878682,0.052495013553528966,611,8,4.672091315745506
layer_registration,742,0,0.0,0,742,0.0,0.0,742,1,0,0.0013477088948786807,0.0013477088948786972,742,0,0.0
layer_type_dependency,742,5,0.013477088948787063,5,736,0.0,0.0,742,1,1,0.0013477088948787256,0.007034989289150579,737,0,1.2798542258336676
layer_control_flow_or_error,742,789,2.1266846361185983,593,513,0.0,0.0,742,1,4,0.0013477088948787412,0.1529823067629512,515,60,5.218309521292273
layer_temporary_object,742,325,0.876010781671159,61,564,0.0,0.0,742,1,3,0.0013477088948787102,0.006891657004945442,596,61,4.7762041985173935
layer_external_dependency,742,349,0.9407008086253369,129,531,0.0,0.0,742,1,2,0.0013477088948786885,0.05095605848251643,552,22,5.041458625079808
