source,target,edge_type,base_edge_type,dependency_layer,semantic_role,file,line,evidence
torch.nn._functions.dropout.Dropout,torch.autograd.function.InplaceFunction,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.0/lib/python3.5/site-packages/torch/nn/_functions/dropout.py,6,class Dropout(InplaceFunction):
torch.nn._functions.dropout.Dropout,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/pytorch/pytorch-0.4.0/lib/python3.5/site-packages/torch/nn/_functions/dropout.py,21,"raise ValueError(""dropout probability has to be between 0 and 1, """
torch.nn._functions.dropout.FeatureDropout,torch.nn._functions.dropout.Dropout,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.0/lib/python3.5/site-packages/torch/nn/_functions/dropout.py,54,class FeatureDropout(Dropout):
torch.nn._functions.packing.PackPadded,torch.autograd.Function,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.0/lib/python3.5/site-packages/torch/nn/_functions/packing.py,5,class PackPadded(Function):
torch.nn._functions.packing.PackPadded,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/pytorch/pytorch-0.4.0/lib/python3.5/site-packages/torch/nn/_functions/packing.py,12,"raise ValueError(""Length of all samples has to be greater than 0, """
torch.nn._functions.packing.PackPadded,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/pytorch/pytorch-0.4.0/lib/python3.5/site-packages/torch/nn/_functions/packing.py,24,"raise ValueError(""Expected `len(lengths)` to be equal to batch_size, but got """
torch.nn._functions.packing.PackPadded,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/pytorch/pytorch-0.4.0/lib/python3.5/site-packages/torch/nn/_functions/packing.py,36,"raise ValueError(""'lengths' array has to be sorted in decreasing order"")"
torch.nn._functions.packing.PackPadded,torch.LongTensor,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/pytorch/pytorch-0.4.0/lib/python3.5/site-packages/torch/nn/_functions/packing.py,42,"return torch.cat(steps), torch.LongTensor(batch_sizes)"
torch.nn._functions.padding.ConstantPadNd,torch.autograd.Function,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.0/lib/python3.5/site-packages/torch/nn/_functions/padding.py,5,class ConstantPadNd(Function):
torch.nn._functions.padding.ConstantPadNd,torch.autograd.Variable,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/pytorch/pytorch-0.4.0/lib/python3.5/site-packages/torch/nn/_functions/padding.py,48,grad_input = Variable(grad_output.data.new(ctx.input_size).zero_())
torch.nn._functions.thnn.fold.Col2Im,torch.autograd.function.Function,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.0/lib/python3.5/site-packages/torch/nn/_functions/thnn/fold.py,7,class Col2Im(Function):
torch.nn._functions.thnn.fold.Im2Col,torch.autograd.function.Function,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.0/lib/python3.5/site-packages/torch/nn/_functions/thnn/fold.py,47,class Im2Col(Function):
torch.nn._functions.thnn.normalization.CrossMapLRN2d,torch.autograd.function.Function,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.0/lib/python3.5/site-packages/torch/nn/_functions/thnn/normalization.py,8,class CrossMapLRN2d(Function):
torch.nn._functions.thnn.rnnFusedPointwise.GRUFused,torch.autograd.function.Function,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.0/lib/python3.5/site-packages/torch/nn/_functions/thnn/rnnFusedPointwise.py,6,class GRUFused(Function):
torch.nn._functions.thnn.rnnFusedPointwise.LSTMFused,torch.autograd.function.Function,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.0/lib/python3.5/site-packages/torch/nn/_functions/thnn/rnnFusedPointwise.py,52,class LSTMFused(Function):
torch.nn._functions.thnn.sparse.EmbeddingBag,torch.autograd.function.Function,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.0/lib/python3.5/site-packages/torch/nn/_functions/thnn/sparse.py,13,class EmbeddingBag(Function):
torch.nn._functions.thnn.sparse.EmbeddingBag,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/pytorch/pytorch-0.4.0/lib/python3.5/site-packages/torch/nn/_functions/thnn/sparse.py,39,"raise ValueError(""mode needs to be 'sum' or 'mean', but got {}"""
torch.nn._functions.thnn.sparse.EmbeddingBag,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/pytorch/pytorch-0.4.0/lib/python3.5/site-packages/torch/nn/_functions/thnn/sparse.py,50,"raise ValueError(""offsets has to be a 1D Tensor"")"
torch.nn._functions.thnn.sparse.EmbeddingBag,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/pytorch/pytorch-0.4.0/lib/python3.5/site-packages/torch/nn/_functions/thnn/sparse.py,53,"raise ValueError(""offsets[0] has to be 0, i.e. the first sequence"""
torch.nn._functions.thnn.sparse.EmbeddingBag,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/pytorch/pytorch-0.4.0/lib/python3.5/site-packages/torch/nn/_functions/thnn/sparse.py,57,"raise ValueError(""offsets[-1] has to be smaller than indices's length"""
torch.nn._functions.thnn.sparse.EmbeddingBag,torch.cuda.LongTensor,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/pytorch/pytorch-0.4.0/lib/python3.5/site-packages/torch/nn/_functions/thnn/sparse.py,120,_sorted = torch.cuda.LongTensor()
torch.nn._functions.thnn.sparse.EmbeddingBag,torch.cuda.LongTensor,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/pytorch/pytorch-0.4.0/lib/python3.5/site-packages/torch/nn/_functions/thnn/sparse.py,121,_indices = torch.cuda.LongTensor()
torch.nn._functions.thnn.sparse.EmbeddingBag,torch.cuda.LongTensor,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/pytorch/pytorch-0.4.0/lib/python3.5/site-packages/torch/nn/_functions/thnn/sparse.py,122,_count = torch.cuda.LongTensor()
torch.nn._functions.thnn.sparse.EmbeddingBag,torch.IntTensor,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/pytorch/pytorch-0.4.0/lib/python3.5/site-packages/torch/nn/_functions/thnn/sparse.py,124,_count = torch.IntTensor()
torch.nn._functions.vision.AffineGridGenerator,torch.autograd.Function,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.0/lib/python3.5/site-packages/torch/nn/_functions/vision.py,84,class AffineGridGenerator(Function):
torch.nn._functions.vision.AffineGridGenerator,RuntimeError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/pytorch/pytorch-0.4.0/lib/python3.5/site-packages/torch/nn/_functions/vision.py,89,"raise RuntimeError(""AffineGridGenerator needs CuDNN for """
torch.nn._functions.vision.AffineGridGenerator,torch.Tensor,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/pytorch/pytorch-0.4.0/lib/python3.5/site-packages/torch/nn/_functions/vision.py,103,"linear_points = torch.linspace(-1, 1, W) if W > 1 else torch.Tensor([-1])"
torch.nn._functions.vision.AffineGridGenerator,torch.Tensor,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/pytorch/pytorch-0.4.0/lib/python3.5/site-packages/torch/nn/_functions/vision.py,105,"linear_points = torch.linspace(-1, 1, H) if H > 1 else torch.Tensor([-1])"
torch.nn._functions.vision.AffineGridGenerator,torch.Size,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/pytorch/pytorch-0.4.0/lib/python3.5/site-packages/torch/nn/_functions/vision.py,117,"assert grad_grid.size() == torch.Size([N, H, W, 2])"
torch.nn._functions.vision.GridSampler,torch.autograd.Function,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.4.0/lib/python3.5/site-packages/torch/nn/_functions/vision.py,35,class GridSampler(Function):
torch.nn._functions.vision.GridSampler,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/pytorch/pytorch-0.4.0/lib/python3.5/site-packages/torch/nn/_functions/vision.py,46,"raise ValueError(""padding_mode needs to be 'zeros' or 'border', but got {}"".format(padding_mode))"
torch.nn._functions.vision.GridSampler,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/pytorch/pytorch-0.4.0/lib/python3.5/site-packages/torch/nn/_functions/vision.py,59,"raise ValueError(""input has to be 4d or 5d but got input of shape: {}"".format(input.shape))"
torch.nn._functions.vision.GridSampler,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/pytorch/pytorch-0.4.0/lib/python3.5/site-packages/torch/nn/_functions/vision.py,80,"raise ValueError(""input has to be 4d or 5d but got input of shape: {}"".format(input.shape))"
