node_id,kind,module,qualname,file,line_start,line_end,is_external,source_kind
AssertionError,class,,AssertionError,.,-1,-1,True,external_placeholder
AttributeError,class,,AttributeError,.,-1,-1,True,external_placeholder
BaseException,class,,BaseException,.,-1,-1,True,external_placeholder
BoundedSemaphore,class,,BoundedSemaphore,.,-1,-1,True,external_placeholder
BytesIO,class,,BytesIO,.,-1,-1,True,external_placeholder
Condition,class,,Condition,.,-1,-1,True,external_placeholder
DEFAULT_EPSILON,constant_symbol,,DEFAULT_EPSILON,.,-1,-1,True,external_placeholder
Dummy,class,,Dummy,.,-1,-1,True,external_placeholder
Event,class,,Event,.,-1,-1,True,external_placeholder
Exception,class,,Exception,.,-1,-1,True,external_placeholder
FileExistsError,class,,FileExistsError,.,-1,-1,True,external_placeholder
ImportError,class,,ImportError,.,-1,-1,True,external_placeholder
IndexError,class,,IndexError,.,-1,-1,True,external_placeholder
KMeans,class,,KMeans,.,-1,-1,True,external_placeholder
KeyError,class,,KeyError,.,-1,-1,True,external_placeholder
LinearRegression,class,,LinearRegression,.,-1,-1,True,external_placeholder
Lock,class,,Lock,.,-1,-1,True,external_placeholder
LokyManager,class,,LokyManager,.,-1,-1,True,external_placeholder
NotImplementedError,class,,NotImplementedError,.,-1,-1,True,external_placeholder
OSError,class,,OSError,.,-1,-1,True,external_placeholder
Pickler,class,,Pickler,.,-1,-1,True,external_placeholder
Popen,class,,Popen,.,-1,-1,True,external_placeholder
Queue,class,,Queue,.,-1,-1,True,external_placeholder
RLock,class,,RLock,.,-1,-1,True,external_placeholder
RuntimeError,class,,RuntimeError,.,-1,-1,True,external_placeholder
RuntimeWarning,class,,RuntimeWarning,.,-1,-1,True,external_placeholder
SimpleQueue,class,,SimpleQueue,.,-1,-1,True,external_placeholder
TypeError,class,,TypeError,.,-1,-1,True,external_placeholder
UserWarning,class,,UserWarning,.,-1,-1,True,external_placeholder
ValueError,class,,ValueError,.,-1,-1,True,external_placeholder
collections.OrderedDict,class,collections,OrderedDict,.,-1,-1,True,external_placeholder
collections.namedtuple,symbol,collections,namedtuple,.,-1,-1,True,external_placeholder
concurrent.futures.Future,class,concurrent.futures,Future,.,-1,-1,True,external_placeholder
concurrent.futures.process.BrokenProcessPool,class,concurrent.futures.process,BrokenProcessPool,.,-1,-1,True,external_placeholder
ctypes.Structure,class,ctypes,Structure,.,-1,-1,True,external_placeholder
distributed.client.Client,class,distributed.client,Client,.,-1,-1,True,external_placeholder
distutils.version.LooseVersion,class,distutils.version,LooseVersion,.,-1,-1,True,external_placeholder
dummy_threading.RLock,class,dummy_threading,RLock,.,-1,-1,True,external_placeholder
io.BufferedIOBase,class,io,BufferedIOBase,.,-1,-1,True,external_placeholder
io.BytesIO,class,io,BytesIO,.,-1,-1,True,external_placeholder
io.UnsupportedOperation,class,io,UnsupportedOperation,.,-1,-1,True,external_placeholder
lzma.LZMAFile,class,lzma,LZMAFile,.,-1,-1,True,external_placeholder
multiprocessing.Pipe,class,multiprocessing,Pipe,.,-1,-1,True,external_placeholder
multiprocessing.TimeoutError,class,multiprocessing,TimeoutError,.,-1,-1,True,external_placeholder
multiprocessing.connection.Pipe,class,multiprocessing.connection,Pipe,.,-1,-1,True,external_placeholder
multiprocessing.context.BaseContext,class,multiprocessing.context,BaseContext,.,-1,-1,True,external_placeholder
multiprocessing.managers.SyncManager,class,multiprocessing.managers,SyncManager,.,-1,-1,True,external_placeholder
multiprocessing.pool.Pool,class,multiprocessing.pool,Pool,.,-1,-1,True,external_placeholder
multiprocessing.pool.ThreadPool,class,multiprocessing.pool,ThreadPool,.,-1,-1,True,external_placeholder
multiprocessing.queues.Queue,class,multiprocessing.queues,Queue,.,-1,-1,True,external_placeholder
multiprocessing.queues.SimpleQueue,class,multiprocessing.queues,SimpleQueue,.,-1,-1,True,external_placeholder
multiprocessing.util.Finalize,class,multiprocessing.util,Finalize,.,-1,-1,True,external_placeholder
numpy.random.RandomState,class,numpy.random,RandomState,.,-1,-1,True,external_placeholder
pickle.Pickler,class,pickle,Pickler,.,-1,-1,True,external_placeholder
pickle.PicklingError,class,pickle,PicklingError,.,-1,-1,True,external_placeholder
pickle._Pickler,symbol,pickle,_Pickler,.,-1,-1,True,external_placeholder
pydoc.TextDoc,class,pydoc,TextDoc,.,-1,-1,True,external_placeholder
sklearn.base.BaseEstimator,class,sklearn.base,BaseEstimator,/home/ota/VM/sklearn/sklearn-0.20.0/lib/python3.6/site-packages/sklearn/base.py,129,255,False,python_source
sklearn.base.BiclusterMixin,class,sklearn.base,BiclusterMixin,/home/ota/VM/sklearn/sklearn-0.20.0/lib/python3.6/site-packages/sklearn/base.py,359,431,False,python_source
sklearn.base.ClassifierMixin,class,sklearn.base,ClassifierMixin,/home/ota/VM/sklearn/sklearn-0.20.0/lib/python3.6/site-packages/sklearn/base.py,259,288,False,python_source
sklearn.base.ClusterMixin,class,sklearn.base,ClusterMixin,/home/ota/VM/sklearn/sklearn-0.20.0/lib/python3.6/site-packages/sklearn/base.py,333,356,False,python_source
