graph_name,num_nodes,num_edges,avg_degree,max_degree,zero_degree_count,avg_clustering_coefficient,transitivity,scc_count,max_scc_size,max_core,pagerank_mean,pagerank_max,betti_0,betti_1,persistent_entropy
full_graphml,209,362,3.464114832535885,104,0,0.03939939746858015,0.008241758241758242,209,1,3,0.004784688995215312,0.15427441974913794,2,81,5.128724592732516
full_csv,209,362,3.464114832535885,104,0,0.03939939746858014,0.008241758241758242,209,1,3,0.004784688995215314,0.15427441974913794,2,81,5.102676964964324
layer_inheritance,209,180,1.722488038277512,75,22,0.0,0.0,209,1,2,0.004784688995215318,0.2300087164541131,31,2,4.983418736274048
layer_composition,209,58,0.5550239234449761,24,190,0.0,0.0,209,1,2,0.004784688995215309,0.023858065004977752,194,9,2.477106039569079
layer_registration,209,0,0.0,0,209,0.0,0.0,209,1,0,0.004784688995215334,0.004784688995215326,209,0,0.0
layer_type_dependency,209,0,0.0,0,209,0.0,0.0,209,1,0,0.004784688995215334,0.004784688995215326,209,0,0.0
layer_control_flow_or_error,209,68,0.6507177033492823,33,166,0.0,0.0,209,1,2,0.004784688995215346,0.0932486632530306,167,5,3.5183706684468357
layer_temporary_object,209,8,0.07655502392344497,7,205,0.0,0.0,209,1,1,0.004784688995215309,0.010796944386602822,206,0,0.6365141682948128
layer_external_dependency,209,48,0.45933014354066987,19,172,0.0,0.0,209,1,2,0.004784688995215306,0.062326958625502867,176,2,3.284982357069384
