graph_name,num_nodes,num_edges,avg_degree,max_degree,zero_degree_count,avg_clustering_coefficient,transitivity,scc_count,max_scc_size,max_core,pagerank_mean,pagerank_max,betti_0,betti_1,persistent_entropy
full_graphml,342,986,5.766081871345029,290,1,0.23351020660226993,0.033841754051477595,336,4,5,0.002923976608187139,0.11577863464994102,18,294,5.515037293033699
full_csv,342,986,5.730994152046784,290,1,0.23351020660227,0.033841754051477595,336,4,5,0.002923976608187141,0.115778634649941,18,294,5.5240533754325085
layer_inheritance,342,271,1.5847953216374269,77,47,0.0,0.0,342,1,2,0.002923976608187139,0.1875525581787973,77,6,5.380232532562994
layer_composition,342,148,0.8654970760233918,40,273,0.0,0.0,342,1,3,0.0029239766081871083,0.02447130184775869,285,16,3.790080939302784
layer_registration,342,3,0.017543859649122806,2,337,0.0,0.0,342,1,1,0.0029239766081871187,0.005382540356796903,339,0,0.6365141682948128
layer_type_dependency,342,318,1.8596491228070176,241,174,0.00455918951856783,0.0007972362476747276,342,1,2,0.0029239766081871404,0.2627069341001527,176,9,4.914673909727175
layer_control_flow_or_error,342,153,0.8947368421052632,63,274,0.0,0.0,342,1,3,0.002923976608187124,0.08229022086075159,275,18,3.9781201274510996
layer_temporary_object,342,36,0.21052631578947367,14,314,0.0,0.0,342,1,2,0.002923976608187104,0.014974039853047436,319,1,2.910141478556778
layer_external_dependency,342,18,0.10526315789473684,10,331,0.0,0.0,342,1,1,0.0029239766081870866,0.006160751578783324,335,0,1.6623769591928221
