graph_name,num_nodes,num_edges,avg_degree,max_degree,zero_degree_count,avg_clustering_coefficient,transitivity,scc_count,max_scc_size,max_core,pagerank_mean,pagerank_max,betti_0,betti_1,persistent_entropy
full_graphml,176,323,3.6704545454545454,93,0,0.052058440463045724,0.02740189445196211,176,1,3,0.005681818181818176,0.18092635264360002,1,57,4.939194494153359
full_csv,176,323,3.6704545454545454,93,0,0.05205844046304573,0.02740189445196211,176,1,3,0.005681818181818167,0.18092635264360002,1,57,4.939554401656583
layer_inheritance,176,151,1.7159090909090908,58,20,0.0,0.0,176,1,2,0.0056818181818181724,0.27640041452574765,27,2,4.805944431942939
layer_composition,176,68,0.7727272727272727,29,155,0.0,0.0,176,1,2,0.0056818181818182245,0.03156661598846046,158,11,2.6662777773851682
layer_registration,176,0,0.0,0,176,0.0,0.0,176,1,0,0.005681818181818211,0.005681818181818201,176,0,0.0
layer_type_dependency,176,0,0.0,0,176,0.0,0.0,176,1,0,0.005681818181818211,0.005681818181818201,176,0,0.0
layer_control_flow_or_error,176,70,0.7954545454545454,31,142,0.0,0.0,176,1,2,0.005681818181818179,0.08030867970859534,143,2,3.28348964512673
layer_temporary_object,176,8,0.09090909090909091,7,172,0.0,0.0,176,1,1,0.005681818181818165,0.01280248250023978,173,0,0.6365141682948128
layer_external_dependency,176,26,0.29545454545454547,7,155,0.0,0.0,176,1,2,0.00568181818181821,0.014702619296232197,161,1,2.4625443055259035
