graph_name,num_nodes,num_edges,avg_degree,max_degree,zero_degree_count,avg_clustering_coefficient,transitivity,scc_count,max_scc_size,max_core,pagerank_mean,pagerank_max,betti_0,betti_1,persistent_entropy
full_graphml,301,809,5.3754152823920265,230,1,0.2692083843415522,0.038502673796791446,296,4,5,0.0033222591362126203,0.11640086049680257,14,238,5.400785378285906
full_csv,301,809,5.342192691029901,230,1,0.2692083843415522,0.038502673796791446,296,4,5,0.0033222591362126186,0.11640086049680243,14,238,5.413549174003219
layer_inheritance,301,235,1.5614617940199336,76,37,0.0,0.0,301,1,1,0.003322259136212613,0.20824593042358464,66,0,5.264285092464178
layer_composition,301,123,0.8172757475083057,37,249,0.0,0.0,301,1,3,0.0033222591362126004,0.02531238279306237,260,16,3.4361752805606414
layer_registration,301,1,0.006644518272425249,1,299,0.0,0.0,301,1,1,0.0033222591362126372,0.006128849574863711,300,0,0.0
layer_type_dependency,301,247,1.6411960132890366,186,157,0.008945789519729406,0.001111934766493699,301,1,2,0.003322259136212613,0.2549583494098386,159,5,4.758750042926842
layer_control_flow_or_error,301,137,0.9102990033222591,53,239,0.0,0.0,301,1,3,0.0033222591362126104,0.08097754270524775,240,17,3.879025901249406
layer_temporary_object,301,30,0.19933554817275748,9,274,0.0,0.0,301,1,1,0.0033222591362126576,0.013917420909499052,279,0,2.8729928146660493
layer_external_dependency,301,15,0.09966777408637874,8,291,0.0,0.0,301,1,1,0.0033222591362126364,0.007452919080385412,295,0,1.4897503188505912
