graph_name,num_nodes,num_edges,avg_degree,max_degree,zero_degree_count,avg_clustering_coefficient,transitivity,scc_count,max_scc_size,max_core,pagerank_mean,pagerank_max,betti_0,betti_1,persistent_entropy
full_graphml,259,934,7.212355212355212,259,1,0.30110132894527114,0.038257730157805855,258,2,5,0.0038610038610038698,0.13668880150421475,5,287,5.311558338857872
full_csv,259,934,7.204633204633205,259,1,0.30110132894527114,0.038257730157805855,258,2,5,0.003861003861003884,0.13668880150421475,5,287,5.244805136789196
layer_inheritance,259,228,1.7606177606177607,80,33,0.0,0.0,259,1,2,0.0038610038610038494,0.24881947499492948,44,13,5.166814016494215
layer_composition,259,142,1.0965250965250966,32,193,0.007936507936507936,0.01507537688442211,259,1,3,0.0038610038610038706,0.04654365720433889,201,17,3.8198815662554573
layer_registration,259,1,0.007722007722007722,1,257,0.0,0.0,259,1,1,0.0038610038610038255,0.007119456918878501,258,0,0.0
layer_type_dependency,259,301,2.324324324324324,226,109,0.014328961439103206,0.0020522175350587164,259,1,3,0.003861003861003886,0.28552918112673925,111,11,4.797723178258716
layer_control_flow_or_error,259,190,1.4671814671814671,77,194,0.0,0.0,259,1,3,0.0038610038610038698,0.08858529974674238,195,24,3.9259833196162743
layer_temporary_object,259,26,0.20077220077220076,13,236,0.0,0.0,259,1,1,0.0038610038610038654,0.02363913379116883,241,0,2.6662777773851682
layer_external_dependency,259,32,0.2471042471042471,27,247,0.0,0.0,259,1,1,0.0038610038610038433,0.011296282945162382,251,0,1.809117864013425
