graph_name,num_nodes,num_edges,avg_degree,max_degree,zero_degree_count,avg_clustering_coefficient,transitivity,scc_count,max_scc_size,max_core,pagerank_mean,pagerank_max,betti_0,betti_1,persistent_entropy
full_graphml,312,969,6.211538461538462,233,1,0.2626015153625972,0.03830577117786028,311,2,5,0.0032051282051282085,0.1229124867909145,7,311,5.472429229433808
full_csv,312,969,6.205128205128205,233,1,0.2626015153625972,0.03830577117786028,311,2,5,0.0032051282051282193,0.12291248679091447,7,311,5.439770714250418
layer_inheritance,312,255,1.6346153846153846,80,51,0.0,0.0,312,1,2,0.0032051282051282102,0.22142084842747722,71,14,5.279094981208354
layer_composition,312,137,0.8782051282051282,33,246,0.0065527065527065526,0.014354066985645933,312,1,3,0.0032051282051281833,0.04114092669941883,253,16,3.8381653472994457
layer_registration,312,1,0.00641025641025641,1,310,0.0,0.0,312,1,1,0.003205128205128198,0.0059133569167604426,311,0,0.0
layer_type_dependency,312,273,1.75,201,161,0.01187606253395727,0.002018842530282638,312,1,3,0.003205128205128207,0.2528304947359434,163,11,4.804475430804614
layer_control_flow_or_error,312,188,1.205128205128205,82,241,0.0,0.0,312,1,3,0.0032051282051281994,0.08614739959863456,242,22,4.024711202397304
layer_temporary_object,312,30,0.19230769230769232,17,287,0.0,0.0,312,1,1,0.0032051282051282193,0.024892421684554217,292,0,2.7749844180583527
layer_external_dependency,312,29,0.1858974358974359,21,297,0.0,0.0,312,1,1,0.003205128205128197,0.009383069529080293,301,0,2.151281720651836
