source,target,edge_type,base_edge_type,dependency_layer,semantic_role,file,line,evidence
torch.nn.cpp.ModuleWrapper,torch.nn.Module,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-1.8.0/lib/python3.6/site-packages/torch/nn/cpp.py,49,class ModuleWrapper(nn.Module):
torch.nn.cpp.ModuleWrapper,torch.nn.cpp.OrderedDictWrapper,constructor_call_composition,constructor_call,composition,owned_component_instantiation,/home/ota/VM/pytorch/pytorch-1.8.0/lib/python3.6/site-packages/torch/nn/cpp.py,60,"self._parameters = OrderedDictWrapper(cpp_module, ""_parameters"")  # type: ignore[assignment]"
torch.nn.cpp.ModuleWrapper,torch.nn.cpp.OrderedDictWrapper,attribute_annotation,attribute_annotation,composition,attribute_type_composition,/home/ota/VM/pytorch/pytorch-1.8.0/lib/python3.6/site-packages/torch/nn/cpp.py,61,"self._buffers: OrderedDictWrapper = OrderedDictWrapper(cpp_module, ""_buffers"")  # type: ignore[assignment]"
torch.nn.cpp.ModuleWrapper,torch.nn.cpp.OrderedDictWrapper,constructor_call_composition,constructor_call,composition,owned_component_instantiation,/home/ota/VM/pytorch/pytorch-1.8.0/lib/python3.6/site-packages/torch/nn/cpp.py,61,"self._buffers: OrderedDictWrapper = OrderedDictWrapper(cpp_module, ""_buffers"")  # type: ignore[assignment]"
torch.nn.cpp.ModuleWrapper,torch.nn.cpp.OrderedDictWrapper,attribute_annotation,attribute_annotation,composition,attribute_type_composition,/home/ota/VM/pytorch/pytorch-1.8.0/lib/python3.6/site-packages/torch/nn/cpp.py,62,"self._modules: OrderedDictWrapper = OrderedDictWrapper(cpp_module, ""_modules"")  # type: ignore[assignment]"
torch.nn.cpp.ModuleWrapper,torch.nn.cpp.OrderedDictWrapper,constructor_call_composition,constructor_call,composition,owned_component_instantiation,/home/ota/VM/pytorch/pytorch-1.8.0/lib/python3.6/site-packages/torch/nn/cpp.py,62,"self._modules: OrderedDictWrapper = OrderedDictWrapper(cpp_module, ""_modules"")  # type: ignore[assignment]"
torch.nn.intrinsic.modules.fused.BNReLU2d,torch.nn.intrinsic.modules.fused._FusedModule,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-1.8.0/lib/python3.6/site-packages/torch/nn/intrinsic/modules/fused.py,99,class BNReLU2d(_FusedModule):
torch.nn.intrinsic.modules.fused.BNReLU3d,torch.nn.intrinsic.modules.fused._FusedModule,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-1.8.0/lib/python3.6/site-packages/torch/nn/intrinsic/modules/fused.py,108,class BNReLU3d(_FusedModule):
torch.nn.intrinsic.modules.fused.ConvBn1d,torch.nn.intrinsic.modules.fused._FusedModule,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-1.8.0/lib/python3.6/site-packages/torch/nn/intrinsic/modules/fused.py,44,class ConvBn1d(_FusedModule):
torch.nn.intrinsic.modules.fused.ConvBn2d,torch.nn.intrinsic.modules.fused._FusedModule,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-1.8.0/lib/python3.6/site-packages/torch/nn/intrinsic/modules/fused.py,53,class ConvBn2d(_FusedModule):
torch.nn.intrinsic.modules.fused.ConvBn3d,torch.nn.intrinsic.modules.fused._FusedModule,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-1.8.0/lib/python3.6/site-packages/torch/nn/intrinsic/modules/fused.py,80,class ConvBn3d(_FusedModule):
