source,target,edge_type,base_edge_type,dependency_layer,semantic_role,file,line,evidence
keras.backend.ContextValueCache,weakref.WeakKeyDictionary,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-2.5.0/lib/python3.9/site-packages/keras/backend.py,6486,class ContextValueCache(weakref.WeakKeyDictionary):
keras.backend.GraphExecutionFunction,TypeError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/tensorflow/tensorflow-2.5.0/lib/python3.9/site-packages/keras/backend.py,3862,raise TypeError('`updates` in a Keras backend function '
keras.backend.GraphExecutionFunction,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/tensorflow/tensorflow-2.5.0/lib/python3.9/site-packages/keras/backend.py,3904,raise ValueError('Some keys in session_kwargs are not supported at this '
keras.backend.GraphExecutionFunction,tensorflow.core.protobuf.config_pb2.CallableOptions,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/tensorflow/tensorflow-2.5.0/lib/python3.9/site-packages/keras/backend.py,3927,callable_opts = config_pb2.CallableOptions()
keras.backend._DummyEagerGraph,threading.local,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-2.5.0/lib/python3.9/site-packages/keras/backend.py,89,class _DummyEagerGraph(threading.local):
keras.callbacks.BackupAndRestore,keras.callbacks.Callback,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-2.5.0/lib/python3.9/site-packages/keras/callbacks.py,1576,class BackupAndRestore(Callback):
keras.callbacks.BackupAndRestore,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/tensorflow/tensorflow-2.5.0/lib/python3.9/site-packages/keras/callbacks.py,1644,raise ValueError('This Callback\'s method contains Python state and '
keras.callbacks.BackupAndRestore,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/tensorflow/tensorflow-2.5.0/lib/python3.9/site-packages/keras/callbacks.py,1647,raise ValueError(
keras.callbacks.BackupAndRestore,NotImplementedError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/tensorflow/tensorflow-2.5.0/lib/python3.9/site-packages/keras/callbacks.py,1664,raise NotImplementedError(
keras.callbacks.BackupAndRestore,keras.distribute.worker_training_state.WorkerTrainingState,constructor_call_temporary,constructor_call,temporary_object,temporary_or_configuration_instantiation,/home/ota/VM/tensorflow/tensorflow-2.5.0/lib/python3.9/site-packages/keras/callbacks.py,1670,"worker_training_state.WorkerTrainingState(self.model, self.backup_dir))"
keras.callbacks.BaseLogger,keras.callbacks.Callback,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-2.5.0/lib/python3.9/site-packages/keras/callbacks.py,897,class BaseLogger(Callback):
keras.callbacks.CSVLogger,keras.callbacks.Callback,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-2.5.0/lib/python3.9/site-packages/keras/callbacks.py,2704,class CSVLogger(Callback):
keras.callbacks.CSVLogger,csv.DictWriter,constructor_call_composition,constructor_call,composition,owned_component_instantiation,/home/ota/VM/tensorflow/tensorflow-2.5.0/lib/python3.9/site-packages/keras/callbacks.py,2773,self.writer = csv.DictWriter(
keras.callbacks.CSVLogger,collections.OrderedDict,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/tensorflow/tensorflow-2.5.0/lib/python3.9/site-packages/keras/callbacks.py,2780,row_dict = collections.OrderedDict({'epoch': epoch})
keras.callbacks.CallbackList,keras.callbacks.ProgbarLogger,constructor_call_composition,constructor_call,composition,owned_component_instantiation,/home/ota/VM/tensorflow/tensorflow-2.5.0/lib/python3.9/site-packages/keras/callbacks.py,248,self._progbar = ProgbarLogger(count_mode='steps')
keras.callbacks.CallbackList,keras.callbacks.History,constructor_call_composition,constructor_call,composition,owned_component_instantiation,/home/ota/VM/tensorflow/tensorflow-2.5.0/lib/python3.9/site-packages/keras/callbacks.py,252,self._history = History()
keras.callbacks.CallbackList,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/tensorflow/tensorflow-2.5.0/lib/python3.9/site-packages/keras/callbacks.py,280,raise ValueError('Unrecognized hook: {}'.format(hook))
keras.callbacks.CallbackList,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/tensorflow/tensorflow-2.5.0/lib/python3.9/site-packages/keras/callbacks.py,602,raise ValueError('Batch-level `Callback`s are not supported with '
keras.callbacks.EarlyStopping,keras.callbacks.Callback,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-2.5.0/lib/python3.9/site-packages/keras/callbacks.py,1690,class EarlyStopping(Callback):
keras.callbacks.History,keras.callbacks.Callback,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-2.5.0/lib/python3.9/site-packages/keras/callbacks.py,1124,class History(Callback):
keras.callbacks.LambdaCallback,keras.callbacks.Callback,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-2.5.0/lib/python3.9/site-packages/keras/callbacks.py,2791,class LambdaCallback(Callback):
