source,target,edge_type,base_edge_type,dependency_layer,semantic_role,file,line,evidence
torch.nn.cpp.ModuleWrapper,torch.nn.Module,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-1.7.1/lib/python3.6/site-packages/torch/nn/cpp.py,49,class ModuleWrapper(nn.Module):
torch.nn.cpp.ModuleWrapper,torch.nn.cpp.OrderedDictWrapper,constructor_call_composition,constructor_call,composition,owned_component_instantiation,/home/ota/VM/pytorch/pytorch-1.7.1/lib/python3.6/site-packages/torch/nn/cpp.py,60,"self._parameters = OrderedDictWrapper(cpp_module, ""_parameters"")"
torch.nn.cpp.ModuleWrapper,torch.nn.cpp.OrderedDictWrapper,constructor_call_composition,constructor_call,composition,owned_component_instantiation,/home/ota/VM/pytorch/pytorch-1.7.1/lib/python3.6/site-packages/torch/nn/cpp.py,61,"self._buffers = OrderedDictWrapper(cpp_module, ""_buffers"")"
torch.nn.cpp.ModuleWrapper,torch.nn.cpp.OrderedDictWrapper,constructor_call_composition,constructor_call,composition,owned_component_instantiation,/home/ota/VM/pytorch/pytorch-1.7.1/lib/python3.6/site-packages/torch/nn/cpp.py,62,"self._modules = OrderedDictWrapper(cpp_module, ""_modules"")"
torch.nn.intrinsic.modules.fused.BNReLU2d,torch.nn.Sequential,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-1.7.1/lib/python3.6/site-packages/torch/nn/intrinsic/modules/fused.py,95,class BNReLU2d(torch.nn.Sequential):
torch.nn.intrinsic.modules.fused.BNReLU3d,torch.nn.Sequential,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-1.7.1/lib/python3.6/site-packages/torch/nn/intrinsic/modules/fused.py,104,class BNReLU3d(torch.nn.Sequential):
torch.nn.intrinsic.modules.fused.ConvBn1d,torch.nn.Sequential,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-1.7.1/lib/python3.6/site-packages/torch/nn/intrinsic/modules/fused.py,40,class ConvBn1d(torch.nn.Sequential):
torch.nn.intrinsic.modules.fused.ConvBn2d,torch.nn.Sequential,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-1.7.1/lib/python3.6/site-packages/torch/nn/intrinsic/modules/fused.py,49,class ConvBn2d(torch.nn.Sequential):
torch.nn.intrinsic.modules.fused.ConvBn3d,torch.nn.Sequential,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-1.7.1/lib/python3.6/site-packages/torch/nn/intrinsic/modules/fused.py,76,class ConvBn3d(torch.nn.Sequential):
torch.nn.intrinsic.modules.fused.ConvBnReLU1d,torch.nn.Sequential,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-1.7.1/lib/python3.6/site-packages/torch/nn/intrinsic/modules/fused.py,58,class ConvBnReLU1d(torch.nn.Sequential):
torch.nn.intrinsic.modules.fused.ConvBnReLU2d,torch.nn.Sequential,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-1.7.1/lib/python3.6/site-packages/torch/nn/intrinsic/modules/fused.py,67,class ConvBnReLU2d(torch.nn.Sequential):
